generation,mse_best,mse_median,k_mlp,k_proteins,k_total,k_mlp_ratio,fitness_best,fitness_median,age_max,threshold,n0_sat,n1_sat,n2_sat,n3_sat
195,0.019424792379140854,0.023337073624134064,4,0,4,1.0,-0.0019424792844802141,-0.0023337071761488914,37,0.95,0.5199999809265137,0.6800000071525574,0.7599999904632568,0.6399999856948853
196,0.019424792379140854,0.023307451978325844,4,0,4,1.0,-0.0019424792844802141,-0.002330745104700327,38,0.95,0.5199999809265137,0.6800000071525574,0.7599999904632568,0.6399999856948853
197,0.019424792379140854,0.02303703874349594,4,0,4,1.0,-0.0019424792844802141,-0.002303703920915723,39,0.95,0.5199999809265137,0.6800000071525574,0.7599999904632568,0.6399999856948853
198,0.019424792379140854,0.02269871160387993,4,0,4,1.0,-0.0019424792844802141,-0.0022698710672557354,40,0.95,0.5199999809265137,0.6800000071525574,0.7599999904632568,0.6399999856948853
199,0.019424792379140854,0.022624559700489044,4,0,4,1.0,-0.0019424792844802141,-0.0022624561097472906,41,0.95,0.5199999809265137,0.6800000071525574,0.7599999904632568,0.6399999856948853
200,0.019424792379140854,0.022484533488750458,4,0,4,1.0,-0.0019424792844802141,-0.0022484534420073032,42,0.95,0.5199999809265137,0.6800000071525574,0.7599999904632568,0.6399999856948853
201,0.019424792379140854,0.02227497287094593,4,0,4,1.0,-0.0019424792844802141,-0.002227497287094593,43,0.95,0.5199999809265137,0.6800000071525574,0.7599999904632568,0.6399999856948853
202,0.01844240352511406,0.022194754332304,4,0,4,1.0,-0.001844240352511406,-0.0022194753400981426,44,0.95,0.5699999928474426,0.7099999785423279,0.75,0.6399999856948853
203,0.01844240352511406,0.022163446992635727,4,0,4,1.0,-0.001844240352511406,-0.0022163446992635727,29,0.95,0.5699999928474426,0.7099999785423279,0.75,0.6399999856948853
204,0.01844240352511406,0.02198897860944271,4,0,4,1.0,-0.001844240352511406,-0.0021988977678120136,18,0.95,0.5699999928474426,0.7099999785423279,0.75,0.6399999856948853
205,0.017546620219945908,0.021622952073812485,4,0,4,1.0,-0.001844240352511406,-0.002177090849727392,19,0.95,0.5699999928474426,0.7099999785423279,0.75,0.6399999856948853
206,0.01844240352511406,0.021533334627747536,4,0,4,1.0,-0.001844240352511406,-0.0021533335093408823,20,0.95,0.5699999928474426,0.7099999785423279,0.75,0.6399999856948853
207,0.01844240352511406,0.0214751698076725,4,0,4,1.0,-0.001844240352511406,-0.002147517167031765,21,0.95,0.5699999928474426,0.7099999785423279,0.75,0.6399999856948853
